STATION,DATE,FT NAVD88,M NAVD88,FLOODCLASS,STORMNAME,TYPE,STATIONLAT,STATIONLONG,REGION,YEAR,DOWNSTREAM KM
LICKRUN,4/6/57,19.56,5.96,FLOOD,NT61,NT,37.773611,-79.784444,MOUNTAIN,1957,0
BUCHANAN,4/6/57,18.78,5.72,FLOOD,NT61,NT,37.530556,-79.679167,MOUNTAIN,1957,57.7
HOLCOMBROCK,4/6/57,22.36,6.82,FLOOD,NT61,NT,37.501111,-79.262778,PIEDMONT,1957,112.3
BENTCREEK,4/6/57,16.6,5.06,FLOOD,NT61,NT,37.536111,-78.829722,PIEDMONT,1957,177.8
SCOTTSVILLE,4/7/57,19.14,5.83,ACTION,NT61,NT,37.797222,-78.491667,PIEDMONT,1957,240.3
CARTERSVILLE,4/7/57,19.47,6.22,ACTION,NT61,NT,37.670833,-78.086111,PIEDMONT,1957,291
RICHWEST,4/8/57,15,4.89,MODERATE,NT61,NT,37.563056,-77.547222,PIEDMONT,1957,354.6
HOLCOMBROCK,3/31/58,18.08,5.51,ACTION,NT62,NT,37.501111,-79.262778,PIEDMONT,1958,112.3
SCOTTSVILLE,4/1/58,15.88,4.84,ACTION,NT62,NT,37.797222,-78.491667,PIEDMONT,1958,240.3
CARTERSVILLE,4/1/58,16.46,5.3,ACTION,NT62,NT,37.670833,-78.086111,PIEDMONT,1958,291
RICHWEST,4/2/58,13.35,4.38,FLOOD,NT62,NT,37.563056,-77.547222,PIEDMONT,1958,354.6
SCOTTSVILLE,6/3/59,12.81,3.9,ACTION,ARLENE59,GT,37.797222,-78.491667,PIEDMONT,1959,240.3
RICHWEST,6/4/59,12.05,3.99,FLOOD,ARLENE59,GT,37.563056,-77.547222,PIEDMONT,1959,354.6
RICHWEST,10/2/59,13.1,4.31,FLOOD,GRACIE,AT,37.563056,-77.547222,PIEDMONT,1959,354.6
RICHWEST,3/20/60,13.2,4.34,FLOOD,NT63,NT,37.563056,-77.547222,PIEDMONT,1960,354.6
BUCHANAN,3/21/60,18.45,5.62,FLOOD,NT63,NT,37.530556,-79.679167,MOUNTAIN,1960,57.7
LICKRUN,3/31/60,19.65,5.99,FLOOD,NT63,NT,37.773611,-79.784444,MOUNTAIN,1960,0
HOLCOMBROCK,3/31/60,22,6.71,FLOOD,NT63,NT,37.501111,-79.262778,PIEDMONT,1960,112.3
BENTCREEK,3/31/60,16.19,4.93,FLOOD,NT63,NT,37.536111,-78.829722,PIEDMONT,1960,177.8
RICHWEST,3/31/60,13.3,4.37,FLOOD,NT63,NT,37.563056,-77.547222,PIEDMONT,1960,354.6
SCOTTSVILLE,4/1/60,19.1,5.82,ACTION,NT63,NT,37.797222,-78.491667,PIEDMONT,1960,240.3
CARTERSVILLE,4/6/60,20.13,6.42,FLOOD,NT64,NT,37.670833,-78.086111,PIEDMONT,1960,291
RICHWEST,4/7/60,15.7,5.1,MODERATE,NT64,NT,37.563056,-77.547222,PIEDMONT,1960,354.6
RICHLOCKS,4/7/60,12.2,3.72,FLOOD,NT64,NT,37.525,-77.421111,PIEDMONT,1960,367.3
